IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
FOA_INFRA_GPOREP.39,OBS,78.040,,25-III-2043,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.41,OBS,72.958,,25-III-2044,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.42,OBS,96.169,,25-III-2045,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.43,OBS,88.648,,25-III-2046,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.44,OBS,77.535,,25-III-2047,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.45,OBS,71.487,,25-III-2048,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.46,ADAP,,,25-III-2048,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.47,OBS,87.601,,25-III-2049,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.48,OBS,95.021,,25-III-2050,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.49,ADAP,,,25-III-2050,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.50,OBS,65.773,,25-III-2051,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.51,ADAP,,,25-III-2051,b,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.56,OBS,108.58,,28-I  -2001,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.57,OBS,88.978,,28-I  -2002,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.58,OBS,80.358,,28-I  -2003,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.59,OBS,71.433,,28-I  -2004,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.60,OBS,66.649,,28-I  -2006,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.61,OBS,71.808,,28-I  -2007,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.62,OBS,80.564,,28-I  -2008,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.63,OBS,72.729,,28-I  -2009,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.64,OBS,67.323,,28-I  -2010,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.65,OBS,61.141,,28-I  -2011,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.66,OBS,61.427,,28-I  -2012,a,FOA_INFRA_POLYGONATION,RCNC
FOA_INFRA_GPOREP.120,OBS,76.95,,28-I  -2013,a,FOA_INFRA_POLYGONATION,RCNC
MND_INFRA_GPOREP.1,OBS,65.55,,24-IV -2001,a,MND_INFRA_POLYGONATION,RCNC
MND_INFRA_GPOREP.2,OBS,67.85,,24-IV -2002,a,MND_INFRA_POLYGONATION,RCNC
